message,is_scam,category,subcategory
"URGENT Work From Home Opportunity! Make $5,000/week guaranteed. No experience needed. Contact recruiter@job-offer.xyz for immediate start.",1,opportunity_rewards,employment
"Congratulations! You've been selected for a remote position. Send $199 for background check to start earning $900/day!",1,opportunity_rewards,employment
"Amazon Careers: Thank you for applying to Customer Service Representative (Job ID: CS4527). Salary range: $18-22/hr + benefits. Next step: Complete your assessment at amazon.jobs/assess/CS4527. Questions? Contact recruiting@amazon.com. Amazon never charges fees for employment.",0,opportunity_rewards,employment
"HIRING NOW: Data Entry Position - $45/hr. Send your bank details to jobs@data-entry-work.net for immediate payment setup.",1,opportunity_rewards,employment
"Work From Home Opportunity! Process payments for our company. Use your bank account, earn 10% commission. Contact +1-SCAM-NUMBER.",1,opportunity_rewards,employment
"Microsoft Careers: Your application for Software Engineer (REQ58769) is under review. Salary: $125,000-$165,000/year + benefits. Schedule your technical interview at careers.microsoft.com/interview/REQ58769. Visit careers.microsoft.com/applicant-faq for common questions.",0,opportunity_rewards,employment
"URGENT: Your resume was selected! Pay $299 training fee via Bitcoin to secure high-paying remote position. Start tomorrow!",1,opportunity_rewards,employment
"Make $800 daily from home! Small investment required ($450) for training materials. WhatsApp +44-SCAM-NUMBER for details.",1,opportunity_rewards,employment
"Google Hiring Event: Join our Virtual Career Fair on Dec 20, 2-5PM EST. Roles: Cloud Solutions Engineer ($130-180K). Register at careers.google.com/events/dec2023. No payment required. All interviews conducted through official Google Meet platform.",0,opportunity_rewards,employment
"CONGRATULATIONS! You won $1,000,000 in the Instagram Lottery! Send $500 processing fee to claim: hxxp://prize-claim.net",1,opportunity_rewards,prizes
"YOU'RE A WINNER! Your email was randomly selected. Send passport copy and bank details to claim@lottery-win.xyz",1,opportunity_rewards,prizes
"Target: Congratulations! You've earned a $50 Target Gift Card through our Circle Rewards program. Redeem in the Target app or at target.com/circle/rewards using code TGT-RF456789. Valid through 3/31/24. Help: 1-800-591-3869. Never pay fees to claim rewards.",0,opportunity_rewards,prizes
"XBOX Sweepstakes Winner! You won a new console. Pay $99 shipping fee at hxxp://xbox-prize.net to receive your prize.",1,opportunity_rewards,prizes
"Amazon Raffle Winner! To receive your free iPhone 14, click hxxp://amazon-prizes.xyz and enter your credit card for verification.",1,opportunity_rewards,prizes
"Walmart: You've won our monthly customer survey drawing! Claim your $100 Walmart Gift Card at any store's customer service desk with ID and confirmation code WM23789456. Questions? Visit walmart.com/giftcard-support or call 1-800-925-6278.",0,opportunity_rewards,prizes
"GAME SHOW WINNER! Pay $299 processing fee via Western Union to claim your $50,000 prize. Contact prize@gameshow-win.net",1,opportunity_rewards,prizes
"Survey Reward: Complete survey and pay $10 fee to receive your free iPad! Click hxxp://survey-rewards.xyz now!",1,opportunity_rewards,prizes
"Best Buy Rewards: Thanks for being an elite member! Your $75 reward certificate is available in your Best Buy account. Redeem online at bestbuy.com/rewards or in stores with your member ID. Certificate expires 1/31/24. Visit bestbuy.com/rewards-faq for details.",0,opportunity_rewards,prizes
"INHERITANCE NOTICE: You are beneficiary to $4.5M USD. Send $1,500 legal fee to claim. Contact barrister@inheritance.net",1,opportunity_rewards,inheritance
"URGENT: Your unknown relative left you $2.8M. Transfer $750 via Bitcoin to start claim process. Reply within 24hrs!",1,opportunity_rewards,inheritance
"Charles Schwab Estate Services: Our records indicate you may be a beneficiary in the Robert Johnson estate. Schedule a free consultation at schwab.com/estates or call 800-435-4000. Note: Schwab never requests upfront fees or personal information by email.",0,opportunity_rewards,inheritance
"CONFIDENTIAL: Late oil merchant left you $5.2M. Send passport and bank details to claim@inheritance-lawyer.xyz",1,opportunity_rewards,inheritance
"Your inheritance claim needs processing! Pay $2,999 to attorney via Western Union. Contact +1-SCAM-NUMBER immediately.",1,opportunity_rewards,inheritance
"JP Morgan Estate Planning: Following up on your inquiry about the Thompson Family Trust distribution. Please schedule an appointment at chase.com/private-bank/estates or visit your local Chase branch. For questions, call Private Client Services: 1-866-265-1727.",0,opportunity_rewards,inheritance
"LAST CHANCE: Unclaimed inheritance of $3.7M expires today! Send $500 via MoneyGram to secure funds. Urgent!",1,opportunity_rewards,inheritance
"Your deceased relative's estate! Send $899 administrative fee to hxxp://estate-claims.net within 12 hours.",1,opportunity_rewards,inheritance
"Vanguard Beneficiary Services: Your inherited IRA documentation is ready for review. Log in to vanguard.com/inheritedira to schedule a consultation. Questions? Call 800-662-2739. No fees required for inherited account services.",0,opportunity_rewards,inheritance
